num,name,address,lat,lon,code_wil
252,REHAB ALI,AVENUE AMAR REGHIBA Oued Zenati,36.3100347,7.1657362,24
253,EL AIDI AHMED,CITE SALAH SOUFI BT 4/2 Sedrata,36.1345249,7.5297476,41
254,LAAROUM MUSTAPHA,8 AVENUE MOULOUD FERAOUN Souk Ahras,36.2855903,7.9613829,41
255,NOUARI HOCINE,72 AVENUE DIDOUCHE MOURAD Skikda,36.870155,6.9107549,21
256,AMIAR EDRISS,5 AVENUE ASSLA HOCINE Skikda,36.870155,6.9107549,21
257,BOUHARA SAID,CITE DES 50 LOGTS BT B ETAGE 13 Batna,35.5634192,6.1889996,5
258,BOUBGUIRA KAMEL,CITE 20 AOUT 1955 Batna,35.5561749,6.1720883,5
259,DELINDA KAMEL,15 RUE CHENAF AMAR QUARTIER VERDURE Batna,35.5321898,6.1686094,5
260,DALINDA SAID,19 PROM IMMOBILIERE BOUZERIA LES ALLEES 19 MARS BLOC 19 1ER ETAGE Batna,35.5634192,6.1889996,5
261,MAARAF ABEDSSELEM,3 RUE LARBI TEBESSI Batna,35.5519634,6.1781831,5
262,BELOUM ABEDELLAH,6 RUE KOUBABI ALI CITE EMIR ABDELKADER Barika,35.3844754,5.3713596,5
263,BELKADHI KHALIFA,6 CITE 200 LOGTS BLOC A Merouana,35.6320745,5.9131539,5
264,BOUCHOUL KAMEL,2 CITE EL DAKSI ABDELSALEM BLOC S BT K Constantine,36.3560687,6.6440456,25
265,BEN HAFIDH AMAR,AVENUE SAID RAHMANI AIN TOUTA Ain Touta,35.3808071,5.9020128,5
266,KORICHI AHMED,CITE DES RAMPARTS BT B/29 Setif,36.1897593,5.4107984,19
267,GHARBI M'BAREK,2 RUE ROUABEH MOUSSA CITE 1ER NOVEMBER BT A Setif,36.1897593,5.4107984,19
268,BELBAKHOUCHE KAMEL,1 CITE EL KHAHIRA BT 2 Setif,36.1897593,5.4107984,19
