,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
123,02 Points de vente,Tizi-Nteleta centre,,pv,CNA,36.5754,4.04036,TIZI N?THLATA,TIZI OUZOU,Fruits et légumes,2,15
124,Marché centre,Route de At-Bu-Addu Ait Bouaddou,,pv,CNA,36.5069,4.05692,AIT BOUADOU,TIZI OUZOU,Fruits et légumes,2,15
125,Marché centre,Ait El Mannsour Iferhounène,,pv,CNA,36.53302,4.37236,IFERHOUNENE,TIZI OUZOU,Fruits et légumes,2,15
126,Marché centre,Rue 1er Novembre Tizi Ghennif 15480,,pv,CNA,36.58768,3.77395,TIZI GHENIF,TIZI OUZOU,Fruits et légumes,2,15
127,Marché centre,Thachtiouine Ait Yahia Moussa,,pv,CNA,36.65918,3.88824,AIT YAHIA MOUSSA,TIZI OUZOU,Fruits et légumes,2,15
128,Tighilt Bougni,M'kira,,pv,CNA,36.62494,3.7917,M?KIRA,TIZI OUZOU,Fruits et légumes,2,15
129,Marché Centre,Draa El Mizan,,pv,CNA,36.53673,3.82789,DRAA EL MIZAN,TIZI OUZOU,Fruits et légumes,2,15
130,Marché centre,Tigzirt,,pv,CNA,36.89175,4.13109,TIGZIRT,TIZI OUZOU,Fruits et légumes,2,15
131,Marché centre,Boudjima,,pv,CNA,36.80823,4.15789,BOUDJIMA,TIZI OUZOU,Fruits et légumes,2,15
132,Marché couvert,Cité Kaper La DNC Draa Ben Khedda,,pv,CNA,36.73134,3.95854,DRAA BEN KHEDA,TIZI OUZOU,Fruits et légumes,2,15
133,Marché,Cité Mahmoudi Boulevard Larbaoui Mohamed Draa Ben Khedda 15100,,pv,CNA,36.72888,3.95832,DRAA BEN KHEDA,TIZI OUZOU,Fruits et légumes,2,15
134,Marché de la gare,Tadmait,,pv,CNA,36.74376,3.9053,TADMAIT,TIZI OUZOU,Fruits et légumes,2,15
135,Marché centre,N12A Sidi Naamane,,pv,CNA,36.75872,3.98012,SIDI NAAMANE,TIZI OUZOU,Fruits et légumes,2,15
